Ffurf safonol,Ffurf safonol arall ,Ffurf Saesneg,Cyfeirnod grid,Math (Cymraeg),Math (Saesneg),Awdurdod lleol (Cymraeg),Awdurdod lleol (Saesneg)
Pibwr-lwyd,,Pibwr-lwyd,SN4118,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Picketston,,Picketston,ST0069,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Picton,,Picton,SJ1282,Anheddiad,,Sir y Fflint,Flintshire
Picton Ferry,,Picton Ferry,SN2717,Ardal,,Sir Gaerfyrddin,Carmarthenshire
"Pîl, Y",,Pyle,SS8282,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Pilgwenlli,,Pillgwenlly,ST3187,Anheddiad,,Casnewydd,Newport
Pill,,Pill,SM9105,Ardal,,Sir Benfro,Pembrokeshire
Pinged,,Pinged,SN4203,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Pisgah,,Pisgah,SN0406,Anheddiad,,Sir Benfro,Pembrokeshire
Pisgah,,Pisgah,SN6777,Anheddiad,,Ceredigion,Ceredigion
Pistyll,,Pistyll,SH3242,Anheddiad,,Gwynedd,Gwynedd
Pit,,Pit,SO3709,Anheddiad,,Sir Fynwy,Monmouthshire
Pitcot,,Pitcot,SS8974,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Pitton,,Pitton,SS4287,Anheddiad,,Abertawe,Swansea
Plain Dealings,,Plain Dealings,SN0518,Anheddiad,,Sir Benfro,Pembrokeshire
Plas Madog,,Plas Madog,SJ2843,Anheddiad,,Wrecsam,Wrexham
Plas-coch,,Plas-coch,SJ3251,Anheddiad,,Wrecsam,Wrexham
Plashett,,Plashett,SN2709,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Plas-marl,,Plas-marl,SS6696,Anheddiad,,Abertawe,Swansea
Plasnewydd,,Plasnewydd,ST1977,Anheddiad,,Caerdydd,Cardiff
Pleasant Valley,,Pleasant Valley,SN1406,Anheddiad,,Sir Benfro,Pembrokeshire
Plwmp,,Plwmp,SN3652,Anheddiad,,Ceredigion,Ceredigion
Ponciau,,Ponciau,SJ2946,Anheddiad,,Wrecsam,Wrexham
Pont Arberth,,Narberth Bridge,SN1014,Anheddiad,,Sir Benfro,Pembrokeshire
Pont Siôn Norton,,Pont Siôn Norton,ST0891,Ardal,,Rhondda Cynon Taf,Rhondda Cynon Taf
Pontaman,,Pontaman,SN6412,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Pontantwn,,Pontantwn,SN4413,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Pontardawe,,Pontardawe,SN7204,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Pontarddulais,,Pontarddulais,SN5903,Anheddiad,,Abertawe,Swansea
Pontarfynach,,Devil's Bridge,SN7376,Anheddiad,,Ceredigion,Ceredigion
Pontargothi,,Pontargothi,SN5021,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Pontarllechau,,Pontarllechau,SN7224,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Pont-ar-sais,,Pont-ar-sais,SN4428,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Pontblyddyn,,Pontblyddyn,SJ2760,Anheddiad,,Sir y Fflint,Flintshire
Pontcanna,,Pontcanna,ST1677,Anheddiad,,Caerdydd,Cardiff
Pontceri,,Pontceri,SN2941,Anheddiad,,Ceredigion,Ceredigion
Pontcreuddyn,,Pontcreuddyn,SN5452,Anheddiad,,Ceredigion,Ceredigion
Pont-dôl-goch,,Pont-dôl-goch,SO0093,Anheddiad,,Powys,Powys
Ponterwyd,,Ponterwyd,SN7480,Anheddiad,,Ceredigion,Ceredigion
Ponterwyl,,Ponterwyl,SJ2464,Anheddiad,,Sir y Fflint,Flintshire
Pontfadlen,,Merlins Bridge,SM9414,Anheddiad,,Sir Benfro,Pembrokeshire
Pontfadog,,Pontfadog,SJ2338,Anheddiad,,Wrecsam,Wrexham
Pont-faen,,Pont-faen,SN0234,Anheddiad,,Sir Benfro,Pembrokeshire
Pont-faen,,Pont-faen,SN9934,Anheddiad,,Powys,Powys
Pont-ffranc,,Frank's Bridge,SO1155,Anheddiad,,Powys,Powys
Pontgarreg,,Pontgarreg,SN3354,Anheddiad,,Ceredigion,Ceredigion
Pont-henri,,Pont-henri,SN4709,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Pont-hir,,Pont-hir,ST3292,Anheddiad,,Torfaen,Torfaen
Pont-hirwaun,,Pont-hirwaun,SN2645,Anheddiad,,Ceredigion,Ceredigion
Pont-hwfa,,Pont-hwfa,SH2382,Anheddiad,,Ynys Môn,Isle of Anglesey
Pontiago,,Pontiago,SM9238,Anheddiad,,Sir Benfro,Pembrokeshire
Pont-iets,,Pont-iets,SN4609,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Pontithel,,Pontithel,SO1636,Anheddiad,,Powys,Powys
Pantlasau,,Pantlasau,SN6500,Anheddiad,,Abertawe,Swansea
Pontllan-fraith,,Pontllan-fraith,ST1896,Anheddiad,,Caerffili,Caerphilly
Pontllanio,,Pontllanio,SN6556,Ardal,,Ceredigion,Ceredigion
Pont-lliw,,Pont-lliw,SN6101,Anheddiad,,Abertawe,Swansea
Pontllogel,,Pontllogel,SJ0315,Anheddiad,,Powys,Powys
Pontllyfni,,Pontllyfni,SH4352,Anheddiad,,Gwynedd,Gwynedd
Pontlotyn,,Pontlotyn,SO1106,Anheddiad,,Caerffili,Caerphilly
Pontmorlais,,Pontmorlais,SO0506,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Pontneddfechan,,Pontneddfechan,SN9007,Anheddiad,,Powys,Powys
Pontnewydd,,Pontnewydd,SN4407,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Pontnewydd,,Pontnewydd,ST2996,Anheddiad,,Torfaen,Torfaen
Pontnewydd,,Pontnewydd,SJ1865,Anheddiad,,Sir y Fflint,Flintshire
Pontnewynydd,,Pontnewynydd,SO2701,Anheddiad,,Torfaen,Torfaen
Pontprennau,,Pontprennau,ST2082,Anheddiad,,Caerdydd,Cardiff
Pontrhydfendigaid,,Pontrhydfendigaid,SN7366,Anheddiad,,Ceredigion,Ceredigion
Pont-rhyd-y-bont,,Four Mile Bridge,SH2878,Anheddiad,,Ynys Môn,Isle of Anglesey
Pont-rhyd-y-ceirt,,Pont-rhyd-y-ceirt,SN2142,Anheddiad,,Sir Benfro,Pembrokeshire
Pont-rhyd-y-cyff,,Pont-rhyd-y-cyff,SS8688,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Pont-rhyd-y-fen,,Pont-rhyd-y-fen,SS7994,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Pont-rhyd-y-groes,,Pont-rhyd-y-groes,SN7372,Anheddiad,,Ceredigion,Ceredigion
Pont-rhyd-yr-ynn,,Pont-rhyd-yr-ynn,ST2997,Anheddiad,,Torfaen,Torfaen
Pontrhythallt,,Pontrhythallt,SH5463,Anheddiad,,Gwynedd,Gwynedd
Pontrobert,,Pontrobert,SJ1012,Anheddiad,,Powys,Powys
Pont-rug,,Pont-rug,SH5163,Anheddiad,,Gwynedd,Gwynedd
Pont-sarn,,Pont-sarn,SO0409,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Pontsenni,,Sennybridge,SN9228,Anheddiad,,Powys,Powys
Pontsiân,,Pontsiân,SN4346,Anheddiad,,Ceredigion,Ceredigion
Pontsticill,,Pontsticill,SO0511,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Pont-tyweli,,Pont-tyweli,SN4140,Anheddiad,,Ceredigion,Ceredigion
Pontwalby,,Pontwalby,SN8906,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Pontyberem,,Pontyberem,SN5011,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Pont-y-blew,,Pont-y-blew,SJ3138,Anheddiad,,Wrecsam,Wrexham
Pontybodkin,,Pontybodkin,SJ2759,Anheddiad,,Sir y Fflint,Flintshire
Pontybrenin,,Kingsbridge,SS5997,Anheddiad,,Abertawe,Swansea
Pont-y-clun,,Pont-y-clun,ST0381,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Pontycymer,,Pontycymer,SS9091,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Pontyfelin,,Pontyfelin,SN5312,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Pontyfelin,,Pontyfelin,ST3098,Anheddiad,,Torfaen,Torfaen
Pontyfenni,,Pontyfenni,SN2317,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Pontyglasier,,Pontyglasier,SN1436,Anheddiad,,Sir Benfro,Pembrokeshire
Pont-y-gof,,Pont-y-gof,SO1610,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Pont-y-gwaith,,Pont-y-gwaith,ST0094,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Pontymister,,Pontymister,ST2490,Anheddiad,,Caerffili,Caerphilly
Pont-y-moel,,Pont-y-moel,SO2900,Anheddiad,,Torfaen,Torfaen
Pont-y-pant,,Pont-y-pant,SH7553,Anheddiad,,Conwy,Conwy
Pontypridd,,Pontypridd,ST0789,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Pont-y-pŵl,,Pontypool,SO2800,Anheddiad,,Torfaen,Torfaen
Pontyrhafod,,Pontyrhafod,SM9026,Anheddiad,,Sir Benfro,Pembrokeshire
Pont-y-rhyl,,Pont-y-rhyl,SS9089,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Pontystrad,,Pontystrad,SJ0564,Anheddiad,,Sir Ddinbych,Denbighshire
Pont-y-waun,,Pont-y-waun,ST2292,Anheddiad,,Caerffili,Caerphilly
Port Lion,,Port Lion,SM9808,Anheddiad,,Sir Benfro,Pembrokeshire
Port Talbot,,Port Talbot,SS7589,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Port Tennant,,Port Tennant,SS6893,Anheddiad,,Abertawe,Swansea
Portfield Gate,,Portfield Gate,SM9215,Ardal,,Sir Benfro,Pembrokeshire
Porth,,Porth,ST0291,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Porth Dinllaen,,Porth Dinllaen,SH2841,Nodwedd tir,,Gwynedd,Gwynedd
Porth Penrhyn,,Porth Penrhyn,SH5972,Anheddiad,,Gwynedd,Gwynedd
Porth Tywyn,,Burry Port,SN4400,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Porthaethwy,,Menai Bridge,SH5572,Anheddiad,,Ynys Môn,Isle of Anglesey
Porthcawl,,Porthcawl,SS8277,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Porthceri,,Porthkerry,ST0866,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Porthceri Isaf,,Lower Porthkerry,ST0766,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Portheiddi,,Portheiddi,SM8031,Anheddiad,,Sir Benfro,Pembrokeshire
Porth-gain,,Porth-gain,SM8132,Anheddiad,,Sir Benfro,Pembrokeshire
Porthllechog,,Bull Bay,SH4294,Anheddiad,,Ynys Môn,Isle of Anglesey
Porthmadog,,Porthmadog,SH5638,Anheddiad,,Gwynedd,Gwynedd
Porthsgiwed,,Portskewett,ST4988,Anheddiad,,Sir Fynwy,Monmouthshire
Porthyfelin,,Porthyfelin,SH2483,Anheddiad,,Ynys Môn,Isle of Anglesey
Porth-y-rhyd,,Porth-y-rhyd,SN5115,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Porth-y-rhyd,,Porth-y-rhyd,SN7137,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Portmead,,Portmead,SS6396,Anheddiad,,Abertawe,Swansea
Portmeirion,,Portmeirion,SH5837,Anheddiad,,Gwynedd,Gwynedd
Post-mawr,,Synod Inn,SN4054,Anheddiad,,Ceredigion,Ceredigion
Poundffald,,Poundffald,SS5694,Anheddiad,,Abertawe,Swansea
Poyston,,Poyston,SM9619,Anheddiad,,Sir Benfro,Pembrokeshire
Poyston Cross,,Poyston Cross,SM9719,Anheddiad,,Sir Benfro,Pembrokeshire
Prenbrigog,,Prenbrigog,SJ2664,Anheddiad,,Sir y Fflint,Flintshire
Prendergast,,Prendergast,SM8024,Anheddiad,,Sir Benfro,Pembrokeshire
Prendergast,,Prendergast,SM9516,Anheddiad,,Sir Benfro,Pembrokeshire
Pren-gwyn,,Pren-gwyn,SN4244,Anheddiad,,Ceredigion,Ceredigion
Pren-teg,,Pren-teg,SH5841,Anheddiad,,Gwynedd,Gwynedd
Presgoed,,Presgoed,ST3499,Anheddiad,,Sir Fynwy,Monmouthshire
Prestatyn,,Prestatyn,SJ0682,Anheddiad,,Sir Ddinbych,Denbighshire
Price Town,,Price Town,SS9392,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Princes Gate,,Princes Gate,SN1312,Anheddiad,,Sir Benfro,Pembrokeshire
Princetown,,Princetown,SO1109,Anheddiad,,Caerffili,Caerphilly
Prion,,Prion,SJ0562,Ardal,,Sir Ddinbych,Denbighshire
Priory,,Priory,SM9007,Ardal,,Sir Benfro,Pembrokeshire
Prysg,,Prisk,ST0176,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Pump-hewl,,Five Roads,SN4805,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Pumsaint,,Pumsaint,SN6540,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Pwll-clai,,Pwll-clai,SJ1873,Anheddiad,,Sir y Fflint,Flintshire
Pwllcrochan,,Pwllcrochan,SM9202,Anheddiad,,Sir Benfro,Pembrokeshire
Pwll-du,,Pwll-du,SO2411,Anheddiad,,Sir Fynwy,Monmouthshire
Pwll-glas,,Pwll-glas,SJ1154,Anheddiad,,Sir Ddinbych,Denbighshire
Pwllgloyw,,Pwllgloyw,SO0333,Anheddiad,,Powys,Powys
Pwll-gwaun,,Pwll-gwaun,ST0690,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Pwllheli,,Pwllheli,SH3735,Anheddiad,,Gwynedd,Gwynedd
Pwllhobi,,Pwllhobi,SN6080,Anheddiad,,Ceredigion,Ceredigion
Pwllmelyn,,Pwllmelyn,SJ1871,Anheddiad,,Sir y Fflint,Flintshire
Pwllmeurig,,Pwllmeurig,ST5192,Anheddiad,,Sir Fynwy,Monmouthshire
Pwll-trap,,Pwll-trap,SN2616,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Pwll-y-glaw,,Pwll-y-glaw,SS7993,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Pwll-y-pant,,Pwll-y-pant,ST1588,Anheddiad,,Caerffili,Caerphilly
Pwll-y-wrach,,Pwll-y-wrach,SS9575,Nodwedd o waith dyn,,Bro Morgannwg,Vale of Glamorgan
Pye Corner,,Pye Corner,ST3485,Anheddiad,,Casnewydd,Newport
Pyllau Bedwellte,,Bedwellty Pits,SO1506,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Queensferry,,Queensferry,SJ3168,Anheddiad,,Sir y Fflint,Flintshire
Rachub,,Rachub,SH6268,Anheddiad,,Gwynedd,Gwynedd
Radur,,Radyr,ST1280,Anheddiad,,Caerdydd,Cardiff
Radur,,Rhadyr,SO3602,Anheddiad,,Sir Fynwy,Monmouthshire
Ram,,Ram,SN5846,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Ras Isaf,,Lower Race,SO2700,Anheddiad,,Torfaen,Torfaen
Ras Uchaf,,Upper Race,ST2799,Anheddiad,,Torfaen,Torfaen
Penlle’r-brain,,Ravenhill,SS6395,Ardal,,Abertawe,Swansea
Redberth,,Redberth,SN0804,Anheddiad,,Sir Benfro,Pembrokeshire
Redbrook,,Redbrook,SJ5040,Anheddiad,,Wrecsam,Wrexham
Redwick,,Redwick,ST4184,Anheddiad,,Casnewydd,Newport
Refail,,Refail,SJ1900,Anheddiad,,Powys,Powys
Resolfen,,Resolfen,SN8202,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Reynalton,,Reynalton,SN0908,Anheddiad,,Sir Benfro,Pembrokeshire
Reynoldston,,Reynoldston,SS4890,Anheddiad,,Abertawe,Swansea
Rhaeadr Gwy,,Rhayader,SN9768,Anheddiad,,Powys,Powys
Rhaglan,,Rhaglan,SO4107,Anheddiad,,Sir Fynwy,Monmouthshire
Rhandir-mwyn,,Rhandir-mwyn,SN7843,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
"Rhath, Y",,Roath,ST1977,Anheddiad,,Caerdydd,Cardiff
Rhes-y-cae,,Rhes-y-cae,SJ1870,Anheddiad,,Sir y Fflint,Flintshire
Rhewl,,Rhewl,SJ1060,Anheddiad,,Sir Ddinbych,Denbighshire
Rhewl,,Rhewl,SJ1844,Anheddiad,,Sir Ddinbych,Denbighshire
Rhewl,,Rhewl,SJ3639,Anheddiad,,Wrecsam,Wrexham
Rhewl Mostyn,,Rhewl Mostyn,SJ1580,Anheddiad,,Sir y Fflint,Flintshire
Rhewl-fawr,,Rhewl-fawr,SJ1281,Anheddiad,,Sir y Fflint,Flintshire
"Rhigos, Y",,"Rhigos, Y",SN9205,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Rhisga,,Risca,ST2490,Anheddiad,,Caerffili,Caerphilly
Rhiw,,Rhiw,ST2098,Anheddiad,,Caerffili,Caerphilly
"Rhiw, Y",,"Rhiw, Y",SH2227,Anheddiad,,Gwynedd,Gwynedd
Rhiwabon,,Ruabon,SJ3043,Anheddiad,,Wrecsam,Wrexham
Rhiwbebyll,,Rhiwbebyll,SJ1265,Anheddiad,,Sir Ddinbych,Denbighshire
Rhiwbeina,Rhiwbina,Rhiwbina,ST1581,Anheddiad,,Caerdydd,Cardiff
Rhiwbryfdir,,Rhiwbryfdir,SH6946,Anheddiad,,Gwynedd,Gwynedd
Rhiwceiliog,,Rhiwceiliog,SS9784,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Rhiwderyn,,Rhiwderyn,ST2687,Anheddiad,,Casnewydd,Newport
Rhiwinder,,Rhiwinder,ST0287,Ardal,,Rhondda Cynon Taf,Rhondda Cynon Taf
Rhiwlas,,Rhiwlas,SH5765,Anheddiad,,Gwynedd,Gwynedd
Rhiwlas,,Rhiwlas,SJ1932,Anheddiad,,Powys,Powys
Rhiwlen,,Rhiwlen,SO1349,Anheddiad,,Powys,Powys
Rhiw'r-perrai,,Ruperra,ST2286,Anheddiad,,Caerffili,Caerphilly
Rhiwsaeson,,Rhiwsaeson,ST0782,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Rhodogeidio,,Rhodogeidio,SH4086,Anheddiad,,Ynys Môn,Isle of Anglesey
Rhos,,Rhos,SN3835,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Rhos,,Rhos,SN7303,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Rhos Isaf,,Rhos Isaf,SH4857,Anheddiad,,Gwynedd,Gwynedd
Rhosaman,,Rhosaman,SN7314,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Rhosbeirio,,Rhosbeirio,SH3991,Anheddiad,,Ynys Môn,Isle of Anglesey
Rhos-cefn-hir,,Rhos-cefn-hir,SH5276,Anheddiad,,Ynys Môn,Isle of Anglesey
Rhoscolyn,,Rhoscolyn,SH2675,Anheddiad,,Ynys Môn,Isle of Anglesey
Rhoscrowdder,,Rhoscrowdder,SM9002,Anheddiad,,Sir Benfro,Pembrokeshire
Rhos-ddu,,Rhos-ddu,SH2535,Anheddiad,,Gwynedd,Gwynedd
Rhos-ddu,,Rhos-ddu,SJ3351,Anheddiad,,Wrecsam,Wrexham
Rhosdylluan,,Rhosdylluan,SH8628,Anheddiad,,Gwynedd,Gwynedd
Rhosesmor,,Rhosesmor,SJ2168,Anheddiad,,Sir y Fflint,Flintshire
Rhos-fach,,Rhos-fach,SN1128,Anheddiad,,Sir Benfro,Pembrokeshire
Rhos-fawr,,Rhos-fawr,SH3839,Anheddiad,,Gwynedd,Gwynedd
Rhosgadfan,,Rhosgadfan,SH5057,Anheddiad,,Gwynedd,Gwynedd
Rhos-goch,,Rhos-goch,SH4089,Anheddiad,,Ynys Môn,Isle of Anglesey
Rhos-goch,,Red Roses,SN2011,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Rhos-goch,,Rhos-goch,SO1847,Anheddiad,,Powys,Powys
Rhosgyll,,Rhosgyll,SH4540,Ardal,,Gwynedd,Gwynedd
Rhoshirwaun,,Rhoshirwaun,SH1929,Ardal,,Gwynedd,Gwynedd
Rhos-hyl,,Rhos-hyl,SN1940,Anheddiad,,Sir Benfro,Pembrokeshire
Rhosili,,Rhosili,SS4188,Anheddiad,,Abertawe,Swansea
Rhos-lan,,Rhos-lan,SH4840,Ardal,,Gwynedd,Gwynedd
Rhoslefain,,Rhoslefain,SH5705,Anheddiad,,Gwynedd,Gwynedd
Rhosllannerchrugog,,Rhosllannerchrugog,SJ2946,Anheddiad,,Wrecsam,Wrexham
Rhosllugwy,,Rhosllugwy,SH4886,Anheddiad,,Ynys Môn,Isle of Anglesey
Rhos-maen,,Rhos-maen,SN6323,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Rhos-meirch,,Rhos-meirch,SH4677,Anheddiad,,Ynys Môn,Isle of Anglesey
Rhosneigr,,Rhosneigr,SH3173,Anheddiad,,Ynys Môn,Isle of Anglesey
Rhosnesni,,Rhosnesni,SJ3450,Anheddiad,,Wrecsam,Wrexham
Rhosrobin,,Rhosrobin,SJ3252,Anheddiad,,Wrecsam,Wrexham
Rhostrehwfa,,Rhostrehwfa,SH4474,Anheddiad,,Ynys Môn,Isle of Anglesey
Rhostryfan,,Rhostryfan,SH4957,Anheddiad,,Gwynedd,Gwynedd
Rhostyllen,,Rhostyllen,SJ3148,Anheddiad,,Wrecsam,Wrexham
Rhos-y-bol,,Rhos-y-bol,SH4288,Anheddiad,,Ynys Môn,Isle of Anglesey
Rhosybrithdir,,Rhosybrithdir,SJ1322,Anheddiad,,Powys,Powys
Rhosybrwyner,,Rhosybrwyner,SJ2961,Anheddiad,,Sir y Fflint,Flintshire
Rhosycaerau,,Rhosycaerau,SM9137,Anheddiad,,Sir Benfro,Pembrokeshire
Rhos-y-garth,,Rhos-y-garth,SN6372,Anheddiad,,Ceredigion,Ceredigion
Rhosygwaliau,,Rhosygwaliau,SH9434,Anheddiad,,Gwynedd,Gwynedd
Rhos-y-llan,,Rhos-y-llan,SH2337,Anheddiad,,Gwynedd,Gwynedd
Rhosymadoc,,Rhosymadoc,SJ3142,Anheddiad,,Wrecsam,Wrexham
Rhosymedre,,Rhosymedre,SJ2842,Anheddiad,,Wrecsam,Wrexham
Rhos-y-meirch,,Rhos-y-meirch,SO2769,Anheddiad,,Powys,Powys
Rhosyn-coch,,Rhosyn-coch,SN2921,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Rhosypentref,,Rhosypentref,SN9582,Anheddiad,,Powys,Powys
Rhos-y-waun,,Rhos-y-waun,SJ2938,Anheddiad,,Wrecsam,Wrexham
Rhuallt,,Rhuallt,SJ0775,Anheddiad,,Sir Ddinbych,Denbighshire
Rhuddlan,,Rhuddlan,SJ0278,Anheddiad,,Sir Ddinbych,Denbighshire
Rhuddlan,,Rhuddlan,SN4943,Anheddiad,,Ceredigion,Ceredigion
Rhuthun,,Ruthin,SJ1258,Anheddiad,,Sir Ddinbych,Denbighshire
"Rhws, Y",,Rhoose,ST0666,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Rhyd,,Rhyd,SH6341,Anheddiad,,Gwynedd,Gwynedd
Rhydaman,,Ammanford,SN6212,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Rhydargaeau,,Rhydargaeau,SN4326,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Rhydcymerau,,Rhydcymerau,SN5738,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Rhyd-ddu,,Rhyd-ddu,SH5652,Anheddiad,,Gwynedd,Gwynedd
Rhydfelen,,Rhydfelen,ST0988,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Rhydgaled,,Chancery,SN5876,Anheddiad,,Ceredigion,Ceredigion
Rhyding,,Rhyding,SS7498,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Rhydlafar,,Rhydlafar,ST1179,Anheddiad,,Caerdydd,Cardiff
Rhydlewis,,Rhydlewis,SN3447,Anheddiad,,Ceredigion,Ceredigion
Rhydlios,,Rhydlios,SH1830,Ardal,,Gwynedd,Gwynedd
Rhydlydan,,Rhydlydan,SH8950,Anheddiad,,Conwy,Conwy
Rhydlydan,,Rhydlydan,SO0593,Anheddiad,,Powys,Powys
Rhydodyn,,Edwinsford,SN6334,Nodwedd o waith dyn,,Sir Gaerfyrddin,Carmarthenshire
Rhydowen,,Rhydowen,SN1928,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Rhydowen,,Rhydowen,SN4445,Anheddiad,,Ceredigion,Ceredigion
Rhydri,,Rudry,ST1986,Anheddiad,,Caerffili,Caerphilly
Rhydroser,,Rhydroser,SN5667,Anheddiad,,Ceredigion,Ceredigion
Rhydsarnau,,Rhydsarnau,SN5710,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Rhyduchaf,,Rhyduchaf,SH9037,Anheddiad,,Gwynedd,Gwynedd
Rhydwaedlyd,,Rhydwaedlyd,ST1681,Ardal,,Caerdydd,Cardiff
Rhyd-wen,,Rhyd-wen,SN7313,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Rhydwilym,,Rhydwilym,SN1124,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Rhyd-wyn,,Rhyd-wyn,SH3188,Anheddiad,,Ynys Môn,Isle of Anglesey
Rhyd-y-blew,,Carmeltown,SO1611,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Rhyd-y-Brown,,Rhyd-y-Brown,SN0621,Anheddiad,,Sir Benfro,Pembrokeshire
Rhyd-y-car,,Rhyd-y-car,SO0405,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Rhydyclafdy,,Rhydyclafdy,SH3234,Anheddiad,,Gwynedd,Gwynedd
Rhydycroesau,,Rhydycroesau,SJ2430,Anheddiad,,Powys,Powys
Rhydyfelin,,Rhydyfelin,SN2837,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Rhydyfelin,,Rhydyfelin,SN5979,Anheddiad,,Ceredigion,Ceredigion
Rhyd-y-foel,,Rhyd-y-foel,SH9176,Anheddiad,,Conwy,Conwy
Rhyd-y-fro,,Rhyd-y-fro,SN7105,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Rhydygele,,Rhydygele,SM8524,Anheddiad,,Sir Benfro,Pembrokeshire
Rhyd-y-gwin,,Rhyd-y-gwin,SN6703,Anheddiad,,Abertawe,Swansea
Rhydygwystl,,Rhydygwystl,SH4039,Anheddiad,,Gwynedd,Gwynedd
Rhyd-y-main,,Rhyd-y-main,SH8022,Ardal,,Gwynedd,Gwynedd
Rhyd-y-meirch,,Rhyd-y-meirch,SO3107,Anheddiad,,Sir Fynwy,Monmouthshire
Rhydymeudwy,,Rhydymeudwy,SJ1251,Anheddiad,,Sir Ddinbych,Denbighshire
Rhyd-y-mwyn,,Rhyd-y-mwyn,SJ2066,Anheddiad,,Sir y Fflint,Flintshire
Rhydypandy,,Rhydypandy,SN6601,Ardal,,Abertawe,Swansea
Rhydypennau,,Rhydypennau,ST1881,Ardal,,Caerdydd,Cardiff
Rhydypennau,,Rhydypennau,SN6285,Anheddiad,,Ceredigion,Ceredigion
Rhydyronnen,,Rhydyronnen,SH6102,Anheddiad,,Gwynedd,Gwynedd
